LocationType,Location,TimeFrame,DataFormat,Data
State,California,2013,Percent,0.221
State,California,2015,Percent,0.225
State,California,2012,Percent,0.213
State,California,2014,Percent,0.227
State,California,2016,Percent,0.219
County,Alameda,2016,Percent,0.144
County,Alameda,2014,Percent,0.158
County,Alameda,2012,Percent,0.151
County,Alameda,2015,Percent,0.152
County,Alameda,2013,Percent,0.157
County,Alpine,2013,Percent,0.166
County,Alpine,2015,Percent,0.085
County,Alpine,2012,Percent,0.052
County,Alpine,2014,Percent,0.097
County,Alpine,2016,Percent,0.154
County,Amador,2016,Percent,0.184
County,Amador,2014,Percent,0.218
County,Amador,2015,Percent,0.225
County,Amador,2012,Percent,0.135
County,Amador,2013,Percent,0.209
County,Butte,2013,Percent,0.23
County,Butte,2015,Percent,0.239
County,Butte,2012,Percent,0.25
County,Butte,2014,Percent,0.245
County,Butte,2016,Percent,0.228
County,Calaveras,2016,Percent,0.161
County,Calaveras,2014,Percent,0.118
County,Calaveras,2015,Percent,0.133
County,Calaveras,2012,Percent,0.1
County,Calaveras,2013,Percent,0.097
County,Colusa,2013,Percent,0.188
County,Colusa,2012,Percent,0.256
County,Colusa,2014,Percent,0.207
County,Colusa,2016,Percent,0.198
County,Colusa,2015,Percent,0.222
County,Contra Costa,2016,Percent,0.132
County,Contra Costa,2014,Percent,0.139
County,Contra Costa,2012,Percent,0.133
County,Contra Costa,2015,Percent,0.14
County,Contra Costa,2013,Percent,0.138
County,Del Norte,2013,Percent,0.299
County,Del Norte,2015,Percent,0.29
County,Del Norte,2012,Percent,0.306
County,Del Norte,2014,Percent,0.296
County,Del Norte,2016,Percent,0.282
County,El Dorado,2016,Percent,0.114
County,El Dorado,2014,Percent,0.123
County,El Dorado,2012,Percent,0.099
County,El Dorado,2015,Percent,0.133
County,El Dorado,2013,Percent,0.108
County,Fresno,2013,Percent,0.371
County,Fresno,2012,Percent,0.355
County,Fresno,2015,Percent,0.382
County,Fresno,2014,Percent,0.391
County,Fresno,2016,Percent,0.387
County,Glenn,2016,Percent,0.263
County,Glenn,2014,Percent,0.252
County,Glenn,2015,Percent,0.273
County,Glenn,2012,Percent,0.251
County,Glenn,2013,Percent,0.242
County,Humboldt,2013,Percent,0.235
County,Humboldt,2015,Percent,0.237
County,Humboldt,2012,Percent,0.239
County,Humboldt,2014,Percent,0.234
County,Humboldt,2016,Percent,0.22
County,Imperial,2016,Percent,0.316
County,Imperial,2014,Percent,0.313
County,Imperial,2015,Percent,0.31
County,Imperial,2012,Percent,0.303
County,Imperial,2013,Percent,0.313
