LocationType,Location,Age group,TimeFrame,DataFormat,Data
County,Alameda,0-3,2013,Percent,0.39
County,Alameda,4-5,2013,Percent,0.65
County,Alameda,6-8,2013,Percent,0.65
County,Alameda,9-11,2013,Percent,0.61
County,Alameda,12-14,2013,Percent,0.54
County,Alameda,15-18,2013,Percent,0.48
County,Alameda,19-20,2013,Percent,0.34
County,Alameda,0-20,2013,Percent,0.53
County,Alameda,0-3,2014,Percent,0.54967
County,Alameda,4-5,2014,Percent,0.62094
County,Alameda,6-8,2014,Percent,0.62964
County,Alameda,9-11,2014,Percent,0.58512
County,Alameda,12-14,2014,Percent,0.5269
County,Alameda,15-18,2014,Percent,0.44329
County,Alameda,19-20,2014,Percent,0.30379
County,Alameda,0-20,2014,Percent,0.50766
County,Alameda,0-3,2015,Percent,0.35908
County,Alameda,4-5,2015,Percent,0.59473
County,Alameda,6-8,2015,Percent,0.59401
County,Alameda,9-11,2015,Percent,0.55505
County,Alameda,12-14,2015,Percent,0.49734
County,Alameda,15-18,2015,Percent,0.41794
County,Alameda,19-20,2015,Percent,0.28964
County,Alameda,0-20,2015,Percent,0.4816
County,Alpine,0-3,2013,Percent,NA
County,Alpine,4-5,2013,Percent,NA
County,Alpine,6-8,2013,Percent,NA
County,Alpine,9-11,2013,Percent,NA
County,Alpine,12-14,2013,Percent,NA
County,Alpine,15-18,2013,Percent,NA
County,Alpine,19-20,2013,Percent,NA
County,Alpine,0-20,2013,Percent,NA
County,Alpine,0-3,2014,Percent,NA
County,Alpine,4-5,2014,Percent,NA
County,Alpine,6-8,2014,Percent,NA
County,Alpine,9-11,2014,Percent,NA
County,Alpine,12-14,2014,Percent,NA
County,Alpine,15-18,2014,Percent,NA
County,Alpine,19-20,2014,Percent,NA
County,Alpine,0-20,2014,Percent,0.28846
County,Alpine,0-3,2015,Percent,NA
County,Alpine,4-5,2015,Percent,NA
County,Alpine,6-8,2015,Percent,NA
County,Alpine,9-11,2015,Percent,0.54545
County,Alpine,12-14,2015,Percent,NA
County,Alpine,15-18,2015,Percent,NA
County,Alpine,19-20,2015,Percent,NA
County,Alpine,0-20,2015,Percent,0.45192
County,Amador,0-3,2013,Percent,0.21
County,Amador,4-5,2013,Percent,0.54
County,Amador,6-8,2013,Percent,0.46
County,Amador,9-11,2013,Percent,0.5
County,Amador,12-14,2013,Percent,0.42
County,Amador,15-18,2013,Percent,0.43
County,Amador,19-20,2013,Percent,0.27
County,Amador,0-20,2013,Percent,0.41
County,Amador,0-3,2014,Percent,0.17617
County,Amador,4-5,2014,Percent,0.41026
County,Amador,6-8,2014,Percent,0.44643
County,Amador,9-11,2014,Percent,0.41476
County,Amador,12-14,2014,Percent,0.4139
County,Amador,15-18,2014,Percent,0.40326
County,Amador,19-20,2014,Percent,0.28058
County,Amador,0-20,2014,Percent,0.36936
County,Amador,0-3,2015,Percent,0.17411
County,Amador,4-5,2015,Percent,0.41762
County,Amador,6-8,2015,Percent,0.45972
County,Amador,9-11,2015,Percent,0.42694
County,Amador,12-14,2015,Percent,0.42298
County,Amador,15-18,2015,Percent,0.42589
County,Amador,19-20,2015,Percent,0.265
County,Amador,0-20,2015,Percent,0.37514
County,Butte,0-3,2013,Percent,0.32
County,Butte,4-5,2013,Percent,0.59
County,Butte,6-8,2013,Percent,0.58
County,Butte,9-11,2013,Percent,0.56
County,Butte,12-14,2013,Percent,0.5
County,Butte,15-18,2013,Percent,0.46
County,Butte,19-20,2013,Percent,0.32
County,Butte,0-20,2013,Percent,0.48
County,Butte,0-3,2014,Percent,0.29429
County,Butte,4-5,2014,Percent,0.56625
County,Butte,6-8,2014,Percent,0.56387
County,Butte,9-11,2014,Percent,0.5372
County,Butte,12-14,2014,Percent,0.47333
County,Butte,15-18,2014,Percent,0.41945
County,Butte,19-20,2014,Percent,0.28322
County,Butte,0-20,2014,Percent,0.45276
County,Butte,0-3,2015,Percent,0.31054
County,Butte,4-5,2015,Percent,0.55866
County,Butte,6-8,2015,Percent,0.57823
County,Butte,9-11,2015,Percent,0.53883
County,Butte,12-14,2015,Percent,0.47691
County,Butte,15-18,2015,Percent,0.40721
County,Butte,19-20,2015,Percent,0.27571
County,Butte,0-20,2015,Percent,0.45371
County,Calaveras,0-3,2013,Percent,0.21
County,Calaveras,4-5,2013,Percent,0.52
County,Calaveras,6-8,2013,Percent,0.42
County,Calaveras,9-11,2013,Percent,0.48
County,Calaveras,12-14,2013,Percent,0.41
County,Calaveras,15-18,2013,Percent,0.4
County,Calaveras,19-20,2013,Percent,0.28
County,Calaveras,0-20,2013,Percent,0.39
County,Calaveras,0-3,2014,Percent,0.15881
County,Calaveras,4-5,2014,Percent,0.44068
County,Calaveras,6-8,2014,Percent,0.41935
County,Calaveras,9-11,2014,Percent,0.41575
