Location,Crime Rate
Alameda,1484
Alpine,1786
Amador,928
Butte,2550
Calaveras,3120
Colusa,1526
Contra Costa,1329
Del Norte,1651
El Dorado,1922
Fresno,2731
Glenn,4313
Humboldt,3573
Imperial,1612
Inyo,1020
Kern,2591
Kings,6950
Lake,3884
Lassen,3048
Los Angeles,1574
Madera,2481
Marin,2250
Mariposa,1493
Mendocino,2694
Merced,3797
Modoc,1463
Mono,723
Monterey,2718
Napa,2027
Nevada,3738
Orange,1908
Placer,1457
Plumas,4433
Riverside,1361
Sacramento,1473
San Benito,2207
San Bernardino,2243
San Diego,2365
San Francisco,2047
San Joaquin,2892
San Luis Obispo,1626
San Mateo,2091
Santa Barbara,2961
Santa Clara,2295
Santa Cruz,2594
Shasta,3796
Sierra,0
Siskiyou,2039
Solano,2650
Sonoma,2544
Stanislaus,1890
Sutter,3317
Tehama,3214
Trinity,358
Tulare,3461
Tuolumne,2188
Ventura,3145
Yolo,3299
Yuba,2878
