LocationType,Location,TimeFrame,DataFormat,Data
State,California,2004,Percent,0.74
State,California,2005,Percent,0.74
State,California,2006,Percent,0.76
State,California,2007,Percent,0.76
State,California,2008,Percent,0.78
State,California,2013,Percent,0.84
State,California,2009,Percent,0.8
State,California,2010,Percent,0.81
State,California,2015,Percent,0.85
State,California,2011,Percent,0.83
State,California,2012,Percent,0.84
State,California,2014,Percent,0.85
County,Alameda,2014,Percent,0.85
County,Alameda,2012,Percent,0.84
County,Alameda,2011,Percent,0.82
County,Alameda,2010,Percent,0.81
County,Alameda,2015,Percent,0.86
County,Alameda,2009,Percent,0.81
County,Alameda,2013,Percent,0.84
County,Alameda,2007,Percent,0.78
County,Alameda,2008,Percent,0.79
County,Alameda,2006,Percent,0.79
County,Alameda,2005,Percent,0.76
County,Alameda,2004,Percent,0.76
County,Alpine,2004,Percent,LNE
County,Alpine,2005,Percent,LNE
County,Alpine,2006,Percent,LNE
County,Alpine,2008,Percent,LNE
County,Alpine,2007,Percent,LNE
County,Alpine,2009,Percent,LNE
County,Alpine,2013,Percent,LNE
County,Alpine,2015,Percent,NA
County,Alpine,2010,Percent,LNE
County,Alpine,2011,Percent,LNE
County,Alpine,2012,Percent,LNE
County,Alpine,2014,Percent,LNE
County,Amador,2014,Percent,0.9
County,Amador,2012,Percent,0.88
County,Amador,2011,Percent,0.84
County,Amador,2010,Percent,0.86
County,Amador,2015,Percent,0.88
County,Amador,2013,Percent,0.88
County,Amador,2009,Percent,0.85
County,Amador,2007,Percent,0.83
County,Amador,2008,Percent,0.83
County,Amador,2006,Percent,0.8
County,Amador,2005,Percent,0.73
County,Amador,2004,Percent,0.81
County,Butte,2004,Percent,0.81
County,Butte,2005,Percent,0.81
County,Butte,2006,Percent,0.82
County,Butte,2007,Percent,0.81
County,Butte,2008,Percent,0.81
County,Butte,2009,Percent,0.83
County,Butte,2013,Percent,0.86
County,Butte,2015,Percent,0.87
County,Butte,2010,Percent,0.81
County,Butte,2011,Percent,0.83
County,Butte,2012,Percent,0.83
County,Butte,2014,Percent,0.87
County,Calaveras,2012,Percent,0.89
County,Calaveras,2014,Percent,0.9
County,Calaveras,2011,Percent,0.87
County,Calaveras,2010,Percent,0.85
County,Calaveras,2015,Percent,0.89
County,Calaveras,2013,Percent,0.89
County,Calaveras,2009,Percent,0.9
County,Calaveras,2008,Percent,0.85
County,Calaveras,2007,Percent,0.81
County,Calaveras,2005,Percent,0.81
County,Calaveras,2006,Percent,0.8
County,Calaveras,2004,Percent,0.83
County,Colusa,2004,Percent,0.73
County,Colusa,2005,Percent,0.73
County,Colusa,2006,Percent,0.73
County,Colusa,2007,Percent,0.73
County,Colusa,2008,Percent,0.76
County,Colusa,2009,Percent,0.76
County,Colusa,2013,Percent,0.8
County,Colusa,2015,Percent,0.83
County,Colusa,2010,Percent,0.78
County,Colusa,2011,Percent,0.76
County,Colusa,2012,Percent,0.8
County,Colusa,2014,Percent,0.79
County,Contra Costa,2012,Percent,0.85
County,Contra Costa,2014,Percent,0.86
County,Contra Costa,2011,Percent,0.84
County,Contra Costa,2010,Percent,0.83
County,Contra Costa,2015,Percent,0.86
County,Contra Costa,2013,Percent,0.86
County,Contra Costa,2009,Percent,0.83
County,Contra Costa,2007,Percent,0.81
County,Contra Costa,2008,Percent,0.82
County,Contra Costa,2005,Percent,0.8
County,Contra Costa,2006,Percent,0.81
County,Contra Costa,2004,Percent,0.8
County,Del Norte,2004,Percent,0.72
County,Del Norte,2006,Percent,0.68
County,Del Norte,2005,Percent,0.71
County,Del Norte,2007,Percent,0.73
County,Del Norte,2008,Percent,0.73
County,Del Norte,2009,Percent,0.63
County,Del Norte,2013,Percent,0.74
County,Del Norte,2015,Percent,0.78
County,Del Norte,2010,Percent,0.78
County,Del Norte,2011,Percent,0.75
County,Del Norte,2014,Percent,0.74
County,Del Norte,2012,Percent,0.73
County,El Dorado,2012,Percent,0.91
County,El Dorado,2014,Percent,0.92
County,El Dorado,2011,Percent,0.91
County,El Dorado,2010,Percent,0.9
County,El Dorado,2015,Percent,0.92
County,El Dorado,2013,Percent,0.91
County,El Dorado,2009,Percent,0.9
County,El Dorado,2008,Percent,0.89
County,El Dorado,2007,Percent,0.89
County,El Dorado,2005,Percent,0.86
County,El Dorado,2006,Percent,0.87
County,El Dorado,2004,Percent,0.89
County,Fresno,2004,Percent,0.67
County,Fresno,2006,Percent,0.7
County,Fresno,2005,Percent,0.68
County,Fresno,2007,Percent,0.74
County,Fresno,2008,Percent,0.75
County,Fresno,2009,Percent,0.76
County,Fresno,2013,Percent,0.8
County,Fresno,2015,Percent,0.81
County,Fresno,2010,Percent,0.78
County,Fresno,2011,Percent,0.8
County,Fresno,2014,Percent,0.81
County,Fresno,2012,Percent,0.8
County,Glenn,2012,Percent,0.81
County,Glenn,2014,Percent,0.82
County,Glenn,2011,Percent,0.83
County,Glenn,2015,Percent,0.79
County,Glenn,2010,Percent,0.81
County,Glenn,2013,Percent,0.81
County,Glenn,2009,Percent,0.78
County,Glenn,2008,Percent,0.81
County,Glenn,2007,Percent,0.78
County,Glenn,2005,Percent,0.73
County,Glenn,2006,Percent,0.73
County,Glenn,2004,Percent,0.75
County,Humboldt,2004,Percent,0.82
County,Humboldt,2006,Percent,0.79
County,Humboldt,2005,Percent,0.79
County,Humboldt,2008,Percent,0.83
County,Humboldt,2007,Percent,0.8
County,Humboldt,2009,Percent,0.82
County,Humboldt,2013,Percent,0.85
County,Humboldt,2010,Percent,0.81
County,Humboldt,2015,Percent,0.81
County,Humboldt,2011,Percent,0.85
County,Humboldt,2014,Percent,0.86
County,Humboldt,2012,Percent,0.84
County,Imperial,2012,Percent,0.82
County,Imperial,2014,Percent,0.81
County,Imperial,2011,Percent,0.8
County,Imperial,2015,Percent,0.8
County,Imperial,2010,Percent,0.78
County,Imperial,2013,Percent,0.8
County,Imperial,2009,Percent,0.78
County,Imperial,2007,Percent,0.72
County,Imperial,2008,Percent,0.76
County,Imperial,2006,Percent,0.73
County,Imperial,2005,Percent,0.7
County,Imperial,2004,Percent,0.66
County,Inyo,2004,Percent,0.76
County,Inyo,2005,Percent,0.8
County,Inyo,2006,Percent,0.81
County,Inyo,2008,Percent,0.8
County,Inyo,2007,Percent,0.8
County,Inyo,2009,Percent,0.66
County,Inyo,2013,Percent,0.82
County,Inyo,2010,Percent,0.81
County,Inyo,2015,Percent,0.73
County,Inyo,2011,Percent,0.8
County,Inyo,2014,Percent,0.72
County,Inyo,2012,Percent,0.84
County,Kern,2012,Percent,0.8
County,Kern,2014,Percent,0.82
County,Kern,2011,Percent,0.8
County,Kern,2015,Percent,0.82
