LocationType,Location,TimeFrame,DataFormat,Data
State,California,2000,Rate,11
State,California,2001,Rate,10
State,California,2002,Rate,9.4
State,California,2003,Rate,8.8
State,California,2004,Rate,8.3
State,California,2005,Rate,8
State,California,2006,Rate,7.8
State,California,2007,Rate,7.5
State,California,2008,Rate,6.8
State,California,2009,Rate,6.4
State,California,2010,Rate,5.9
State,California,2011,Rate,5.8
State,California,2012,Rate,5.7
State,California,2013,Rate,5.8
State,California,2014,Rate,6
County,Alameda,2000,Rate,12.2
County,Alameda,2001,Rate,11.9
County,Alameda,2002,Rate,10.9
County,Alameda,2003,Rate,9.7
County,Alameda,2004,Rate,8.6
County,Alameda,2005,Rate,7.9
County,Alameda,2006,Rate,7.2
County,Alameda,2007,Rate,6.7
County,Alameda,2008,Rate,6.3
County,Alameda,2009,Rate,5.5
County,Alameda,2010,Rate,4.9
County,Alameda,2011,Rate,4.3
County,Alameda,2012,Rate,3.8
County,Alameda,2013,Rate,3.7
County,Alameda,2014,Rate,3.7
County,Alpine,2000,Rate,25.3
County,Alpine,2001,Rate,18.7
County,Alpine,2002,Rate,15.5
County,Alpine,2003,Rate,11.9
County,Alpine,2004,Rate,11.8
County,Alpine,2005,Rate,8.4
County,Alpine,2006,Rate,8
County,Alpine,2007,Rate,0
County,Alpine,2008,Rate,0
County,Alpine,2009,Rate,0
County,Alpine,2010,Rate,0
County,Alpine,2011,Rate,0
County,Alpine,2012,Rate,0
County,Alpine,2013,Rate,0
County,Alpine,2014,Rate,0
County,Amador,2000,Rate,3.7
County,Amador,2001,Rate,4.7
County,Amador,2002,Rate,3.9
County,Amador,2003,Rate,3.7
County,Amador,2004,Rate,5.1
County,Amador,2005,Rate,3.9
County,Amador,2006,Rate,3.3
County,Amador,2007,Rate,4.6
County,Amador,2008,Rate,3.9
County,Amador,2009,Rate,5
County,Amador,2010,Rate,6.5
County,Amador,2011,Rate,5.1
County,Amador,2012,Rate,5
County,Amador,2013,Rate,6.8
County,Amador,2014,Rate,9
County,Butte,2000,Rate,13
County,Butte,2001,Rate,13.4
County,Butte,2002,Rate,14.3
County,Butte,2003,Rate,13.6
County,Butte,2004,Rate,14.9
County,Butte,2005,Rate,15.1
County,Butte,2006,Rate,14.6
County,Butte,2007,Rate,15
County,Butte,2008,Rate,14
County,Butte,2009,Rate,14.1
County,Butte,2010,Rate,13.9
County,Butte,2011,Rate,12.8
County,Butte,2012,Rate,11.4
County,Butte,2013,Rate,9.7
County,Butte,2014,Rate,10.8
County,Calaveras,2000,Rate,7.2
County,Calaveras,2001,Rate,11.5
County,Calaveras,2002,Rate,13.3
County,Calaveras,2003,Rate,16.3
