LocationType,Location,TimeFrame,DataFormat,Data
State,California,2013,Percent,0.11832
State,California,2012,Percent,0.12825
State,California,2014,Percent,0.12
State,California,2016,Percent,0.12
State,California,2015,Percent,0.11818
County,Alameda,2012,Percent,0.21032
County,Alameda,2013,Percent,0.20046
County,Alameda,2014,Percent,0.21
County,Alameda,2016,Percent,0.21
County,Alameda,2015,Percent,0.20273
County,Alpine,2013,Percent,0.5075
County,Alpine,2012,Percent,0.49525
County,Alpine,2014,Percent,0.52
County,Alpine,2016,Percent,0.75
County,Alpine,2015,Percent,0.52538
County,Amador,2012,Percent,0
County,Amador,2013,Percent,NA
County,Amador,2014,Percent,0
County,Amador,2016,Percent,0
County,Amador,2015,Percent,0
County,Butte,2013,Percent,0.1784
County,Butte,2012,Percent,0.20804
County,Butte,2014,Percent,0.17
County,Butte,2016,Percent,0.17
County,Butte,2015,Percent,0.1671
County,Calaveras,2012,Percent,0
County,Calaveras,2013,Percent,NA
County,Calaveras,2014,Percent,0
County,Calaveras,2016,Percent,0
County,Calaveras,2015,Percent,0
County,Colusa,2013,Percent,0.14557
County,Colusa,2012,Percent,0.17722
County,Colusa,2014,Percent,0.17
County,Colusa,2016,Percent,0.18
County,Colusa,2015,Percent,0.1682
County,Contra Costa,2012,Percent,0.1506
County,Contra Costa,2013,Percent,0.11495
County,Contra Costa,2014,Percent,0.11
County,Contra Costa,2016,Percent,0.1
County,Contra Costa,2015,Percent,0.10466
County,Del Norte,2013,Percent,0.2122
County,Del Norte,2012,Percent,0.29126
County,Del Norte,2014,Percent,0.2
County,Del Norte,2016,Percent,0.17
County,Del Norte,2015,Percent,0.16381
County,El Dorado,2012,Percent,0.11941
County,El Dorado,2013,Percent,0.13466
County,El Dorado,2014,Percent,0.03
County,El Dorado,2016,Percent,0.04
County,El Dorado,2015,Percent,0.03566
County,Fresno,2013,Percent,0.15579
County,Fresno,2012,Percent,0.16863
County,Fresno,2014,Percent,0.15
County,Fresno,2016,Percent,0.16
County,Fresno,2015,Percent,0.16686
County,Glenn,2012,Percent,0.17805
County,Glenn,2013,Percent,0.15151
County,Glenn,2014,Percent,0.13
County,Glenn,2016,Percent,0.14
County,Glenn,2015,Percent,0.1317
County,Humboldt,2013,Percent,0.17918
County,Humboldt,2012,Percent,0.18382
County,Humboldt,2014,Percent,0.17
County,Humboldt,2016,Percent,0.18
County,Humboldt,2015,Percent,0.17894
County,Imperial,2012,Percent,0.12339
County,Imperial,2013,Percent,0.11393
County,Imperial,2014,Percent,0.11
County,Imperial,2016,Percent,0.11
County,Imperial,2015,Percent,0.11143
County,Inyo,2013,Percent,NA
County,Inyo,2012,Percent,0
County,Inyo,2014,Percent,0
County,Inyo,2016,Percent,0
